"","time","long","lat","id","xdata","ydata","utm.zone"
"1.1892",19809720,-115.471500127375,31.0381676038796,269,645869.875000019,3434835.24999991,"11N"
"1.1893",19809780,-115.470666586397,31.037999847388,269,645949.687500019,3434817.7499999,"11N"
"1.1894",19809840,-115.472499760498,31.0368329597586,269,645776.500000019,3434685.9999999,"11N"
"1.1895",19809900,-115.472666745318,31.0368326811348,269,645760.562500018,3434685.7499999,"11N"
"1.1896",19810440,-115.472499760498,31.0368329597586,269,645776.500000019,3434685.9999999,"11N"
"1.1897",19810500,-115.470833477127,31.0358343722963,269,645937.062500019,3434577.4999999,"11N"
"1.1898",19810560,-115.470500254356,31.0380001311164,269,645965.562500018,3434817.9999999,"11N"
"1.1899",19810620,-115.560499686343,31.0385010973196,269,637375.000000014,3434758.74999992,"11N"
"1.1900",19810680,-115.472499760498,31.0368329597586,269,645776.500000019,3434685.9999999,"11N"
"1.1901",19810740,-115.472333430387,31.0368332459179,269,645792.37500002,3434686.2499999,"11N"
"1.1902",19810800,-115.499833099706,31.0435004309055,269,643157.687500016,3435389.49999991,"11N"
"1.1903",19810860,-115.470833573154,31.0379995712046,269,645933.750000018,3434817.4999999,"11N"
"1.1904",19810920,-115.470666586397,31.037999847388,269,645949.687500019,3434817.7499999,"11N"
"1.1905",19810980,-115.592833024839,31.0490006311926,269,634274.31250001,3435882.99999992,"11N"
"1.1906",19811040,-115.464166680782,31.0515001976933,269,646549.375000016,3436322.7499999,"11N"
"1.1907",19811100,-115.471166951968,31.0376674652529,269,645902.437500018,3434780.2499999,"11N"
"1.1908",19811160,-115.471166903965,31.0378343653377,269,645902.187500019,3434798.7499999,"11N"
"1.1909",19811220,-115.470833573154,31.0379995712046,269,645933.750000018,3434817.4999999,"11N"
"1.1910",19811280,-115.472333098811,31.0381661921964,269,645790.375000018,3434833.9999999,"11N"
"1.1911",19811340,-115.472166812675,31.0379995779304,269,645806.500000016,3434815.7499999,"11N"
"1.1912",19811880,-115.472166858946,31.037832677792,269,645806.750000019,3434797.2499999,"11N"
"1.1913",19811940,-115.470666733026,31.03749914722,269,645950.43750002,3434762.2499999,"11N"
"1.1914",19812000,-115.470833621752,31.0378326711431,269,645934.000000019,3434798.9999999,"11N"
"1.1915",19812060,-115.472499714885,31.0369998599411,269,645776.250000019,3434704.4999999,"11N"
"1.1916",19812120,-115.472499760498,31.0368329597586,269,645776.500000019,3434685.9999999,"11N"
"1.1917",19812180,-115.499833372102,31.0323338087772,269,643174.375000018,3434151.74999991,"11N"
"1.1918",19812240,-115.528166837984,31.0311669955546,269,640471.687500016,3433986.24999991,"11N"
"1.1919",19812300,-115.583833577562,31.0251656015573,269,635166.812500013,3433251.99999992,"11N"
"1.1920",19812480,-115.470999965772,31.037667741887,269,645918.375000019,3434780.4999999,"11N"
"1.1921",19812540,-115.470666684162,31.0376660472802,269,645950.187500019,3434780.7499999,"11N"
"1.1922",19812600,-115.470666586397,31.037999847388,269,645949.687500019,3434817.7499999,"11N"
"1.1923",19812720,-115.474666432259,31.0374991305416,269,645568.687500017,3434756.9999999,"11N"
"1.1924",19812780,-115.473999754307,31.0376671696817,269,645632.062500018,3434776.4999999,"11N"
"1.1925",19813320,-115.474166605483,31.0383322351795,269,645615.125000017,3434849.9999999,"11N"
"1.1926",19813380,-115.47099995352,31.0378323869751,269,645918.125000017,3434798.7499999,"11N"
"1.1927",19813440,-115.470833573154,31.0379995712046,269,645933.750000018,3434817.4999999,"11N"
"1.1928",19813800,-115.470666586397,31.037999847388,269,645949.687500019,3434817.7499999,"11N"
"1.1929",19813860,-115.470666537494,31.0381667474356,269,645949.437500019,3434836.2499999,"11N"
"1.1930",19814040,-115.500499969344,31.0696665738098,269,643054.875000017,3438288.99999991,"11N"
"1.1931",19814100,-115.471666459761,31.0381673188712,269,645854.00000002,3434834.9999999,"11N"
"1.1932",19814160,-115.472333052804,31.038333092336,269,645790.125000019,3434852.4999999,"11N"
"1.1933",19814220,-115.474000013817,31.0393339247294,269,645629.500000019,3434961.2499999,"11N"
"1.1934",19814760,-115.472166812675,31.0379995779304,269,645806.500000016,3434815.7499999,"11N"
"1.1935",19814820,-115.470999856891,31.0381661871131,269,645917.625000018,3434835.7499999,"11N"
"1.1936",19814880,-115.47000024899,31.0369995653449,269,646014.812500016,3434707.7499999,"11N"
"1.1937",19814940,-115.492999794222,31.0356666412476,269,643821.625000015,3434529.99999991,"11N"
"1.1938",19815000,-115.552833563338,30.9693327112254,269,638206.437500014,3427101.49999992,"11N"
"1.1939",19815060,-115.465499920356,30.8866664157338,269,646674.000000019,3418050.24999991,"11N"
"1.1940",19815300,-115.471333283466,31.0376671806455,269,645886.562500019,3434779.9999999,"11N"
"1.1941",19815360,-115.470666586397,31.037999847388,269,645949.687500019,3434817.7499999,"11N"
"1.1942",19815420,-115.470500254356,31.0380001311164,269,645965.562500018,3434817.9999999,"11N"
"1.1943",19815480,-115.471333176323,31.0381656259291,269,645885.812500018,3434835.2499999,"11N"
"1.1944",19815540,-115.471666459761,31.0381673188712,269,645854.00000002,3434834.9999999,"11N"
"1.1945",19815600,-115.472666518582,31.037667182054,269,645759.312500018,3434778.2499999,"11N"
"1.1946",19815660,-115.472666518582,31.037667182054,269,645759.312500018,3434778.2499999,"11N"
"1.1947",19816200,-115.472666609315,31.0373333816988,269,645759.812500018,3434741.2499999,"11N"
"1.1948",19816260,-115.470666586397,31.037999847388,269,645949.687500019,3434817.7499999,"11N"
"1.1949",19816320,-115.470999965772,31.037667741887,269,645918.375000019,3434780.4999999,"11N"
"1.1950",19816380,-115.472499760498,31.0368329597586,269,645776.500000019,3434685.9999999,"11N"
"1.1951",19816500,-115.573833598647,31.051333884906,269,636084.125000011,3436164.74999992,"11N"
"1.1952",19816620,-115.592166741939,30.9896675268078,269,634421.187500012,3429307.24999992,"11N"
"1.1953",19816680,-115.470666586397,31.037999847388,269,645949.687500019,3434817.7499999,"11N"
"1.1954",19816740,-115.470666586397,31.037999847388,269,645949.687500019,3434817.7499999,"11N"
"1.1955",19816800,-115.471166951968,31.0376674652529,269,645902.437500018,3434780.2499999,"11N"
"1.1956",19816860,-115.471333235753,31.03783408074,269,645886.312500017,3434798.4999999,"11N"
"1.1957",19816920,-115.471166903965,31.0378343653377,269,645902.187500019,3434798.7499999,"11N"
"1.1958",19816980,-115.472166673783,31.0385002783205,269,645805.750000017,3434871.2499999,"11N"
"1.1959",19817040,-115.472000294177,31.038667464067,269,645821.375000018,3434889.9999999,"11N"
"1.1960",19817100,-115.47199973268,31.0383336560849,269,645821.937500019,3434852.9999999,"11N"
"1.1961",19817640,-115.47199973268,31.0383336560849,269,645821.937500019,3434852.9999999,"11N"
"1.1962",19817700,-115.472333522154,31.0364994455595,269,645792.875000019,3434649.2499999,"11N"
"1.1963",19817760,-115.472000254867,31.0363331093534,269,645824.937500017,3434631.2499999,"11N"
"1.1964",19817820,-115.472499760498,31.0368329597586,269,645776.500000019,3434685.9999999,"11N"
"1.1965",19819380,-115.583499902651,31.0463340226236,269,635168.750000013,3435598.74999992,"11N"
"1.1966",19819440,-115.352666509995,30.9028327707286,269,657434.000000029,3419995.99999988,"11N"
"1.1967",19819500,-115.051999713725,30.6146663526208,269,686728.937500076,3388515.49999977,"11N"
"1.1968",19819560,-115.123166959651,30.563167627931,269,680001.062500062,3382690.99999981,"11N"
"1.1969",19819620,-115.167166721617,30.8378336909936,269,675283.062500053,3413067.49999982,"11N"
"1.1970",19819680,-115.477333473935,31.0213322067298,269,645338.687500019,3432961.4999999,"11N"
"1.1971",19819740,-115.472500187011,31.0376674683807,269,645775.187500018,3434778.4999999,"11N"
"1.1972",19819800,-115.472333200743,31.0376677467409,269,645791.125000017,3434778.7499999,"11N"
"1.1973",19819860,-115.472500232675,31.0375005682148,269,645775.437500015,3434759.9999999,"11N"
"1.1974",19819920,-115.47233329264,31.0373339464243,269,645791.625000019,3434741.7499999,"11N"
"1.1975",19819980,-115.472500187011,31.0376674683807,269,645775.187500018,3434778.4999999,"11N"
"1.1976",19820520,-115.472500232675,31.0375005682148,269,645775.437500015,3434759.9999999,"11N"
"1.1977",19820580,-115.470666684162,31.0376660472802,269,645950.187500019,3434780.7499999,"11N"
"1.1978",19820640,-115.470833028158,31.0375011182352,269,645934.562500018,3434762.2499999,"11N"
"1.1979",19820700,-115.471500115945,31.0383322489837,269,645869.625000019,3434853.4999999,"11N"
"1.1980",19820760,-115.556999892111,31.0370004681128,269,637711.187500014,3434596.74999992,"11N"
"1.1981",19820820,-115.579833525958,30.9931660684305,269,635593.937500013,3429709.99999992,"11N"
"1.1982",19820880,-115.594166712204,31.0058340818526,269,634207.562500012,3431096.74999992,"11N"
"1.1983",19820940,-115.470833621752,31.0378326711431,269,645934.000000019,3434798.9999999,"11N"
